source	filterSource	category	categorySub	id	display	title	titleMain_text	displayAddition1	displayAddition2	description_text_mv	note	usageRestrictionNote	confidential	filterDigital	dateCataloged	dateModified	dateOrigin	isbn_mv	creator_display_mv	creator_id_mv	subject_display_mv	subject_id_mv	filterSubject_mv	subjectOther_mv	filterType_mv	categoryContent_mv	categoryMedia_mv	categoryMedium_mv	filterMedium_mv	publisher_display_mv	publisher_id_mv	country_mv	url	website_url_mv	website_description_mv	digitalObject_display_mv	digitalObject_hyperlink_mv	digitalObject_fileExtension_mv	digitalObject_license_mv	digitalObject_licenseNote_mv	digitalObject_accessLevel_mv	titleOther_text_mv	classification_display_mv	classification_id_mv	vendor_type_mv	vendor_id_mv	reference_type_mv	reference_text_mv	statusEditing
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	195	Märchenlexikon (WWW)	Märchenlexikon (WWW)	Märchenlexikon (WWW)		Wörterbuch, Enzyklopädie, Nachschlagwerk	Erstes Märchenlexikon im Internet: Verzeichnis mit rund 300 Märchentiteln mit abrufbaren Informationen zu Märchentypen, ausführlichen kulturgeschichtlichen Hinweisen und Angaben zu weiterführender Literatur.<br /> Umfangreiches elektronisches Verzeichnis von eTexten mit internationalen Märchen, Mythen, Epen, Sagen in Deutsch, Englisch und Französisch. Motiv- und Stichwortregister, strukturiertes Lexikon der Zaubermärchen sowie Motivregister.<br /> Integrierter Märchen- bzw. Motivsuch- und Lieferdienst (kostenpflichtig)			False	True	2019-01-01	2025-08-13			[]	[]	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Germanistik. Niederlandistik. Skandinavistik"", ""Romanistik""]"	"[""4"", ""5"", ""16"", ""36""]"	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Germanistik. Niederlandistik. Skandinavistik"", ""Romanistik""]"	"[""Märchen"", ""Wörterbuch"", ""Bibliografie""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Online""]"	"[""Online""]"	"[""Online""]"	[]	[]	[]	http://www.maerchenlexikon.de/inhalt.htm	"[""http://www.maerchenlexikon.de/inhalt.htm""]"	"[""""]"	"[""""]"	"[""http://www.maerchenlexikon.de/inhalt.htm""]"	"[""htm""]"	"[""Frei verfügbar""]"	[]	public	[]	[]	[]	[]	[]	[]	[]	green
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	382	In medias res	In medias res	In medias res		Wörterbuch, Enzyklopädie, Nachschlagwerk	Das Lexikon lateinischer Zitate und Redewendungen macht den großen Schatz lateinischer Sentenzen, Sprichwörter, Aphorismen, Rechtsregeln, Wahlsprüche, Redewendungen und geflügelten Worte im Original und in deutscher Übersetzung zugänglich. Es enthält mehr als 17.000 Eintragungen und ist damit die bei weitem umfangreichste Sammlung ihrer Art. Erfasst sind Texte der römischen Antike, des Mittelalters und der Neuzeit. Ebenso wurden die Wahlsprüche von Staaten, Städten und historischen Persönlichkeiten sowie Formeln der kirchlichen und der juristischen Tradition berücksichtigt.<br /> (Digitale Bibliothek ; 27)			False	True	2019-01-01	2025-01-13	2001	3-89853-127-9	[]	[]	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Klassische Philologie. Byzantinistik. Mittellateinische und Neugriechische Philologie. Neulatein""]"	"[""4"", ""21""]"	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Klassische Philologie. Byzantinistik. Mittellateinische und Neugriechische Philologie. Neulatein""]"	"[""Latein"", ""Altertumswissenschaft"", ""Zitatensammlung""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Datenträger""]"	"[""Datenträger""]"	"[""Datenträger""]"	"[""Directmedia Publishing GmbH, Berlin""]"	"[""112""]"	[]	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_imrl07a.cmm	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_imrl07a.cmm""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_imrl07a.cmm""]"	"[""cmm""]"	"[""Lokale Lizenz""]"	[]	restricted	"[""Lexikon lateinischer Zitate und Wendungen "", ""hrsg. von Ernst Bury"", ""Digitale Bibliothek ; 27""]"	[]	[]	[]	[]	[]	[]	yellow
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	430	Literaturlexikon / Walther Killy (CD-ROM)	Literaturlexikon / Walther Killy (CD-ROM)	Literaturlexikon / Walther Killy (CD-ROM)		Wörterbuch, Enzyklopädie, Nachschlagwerk	In rund 10.000 Artikeln wird die Literaturgeschichte Deutschlands, Österreichs, der Schweiz und aller deutschen Sprachinseln vom frühen Mittelalter bis zur Gegenwart dokumentiert, mit biographischen Daten, Analysen und Bibliographien.<br />Im Autorenlexikon werden Leben, Werk und Wirkung von über 8.000 Autoren beschrieben. Im  Sachlexikon finden sich Charakterisierungen der Epochen und Strömungen, der Gattungen und Formen sowie der Geschichte der literarischen und gesellschaftlichen Institutionen, des Buches, des Lesers und des Autors.<br /> Die elektronische Version des Literaturlexikons enthält sämtliche Artikel der fünfzehnbändigen von 1988 bis 1993 erschienenen Buchausgabe.<br /> (Digitale Bibliothek ; 9)			False	True	2019-01-01	2026-02-11		3-932544-13-7	[]	[]	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Germanistik. Niederlandistik. Skandinavistik""]"	"[""4"", ""16""]"	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Germanistik. Niederlandistik. Skandinavistik""]"	"[""Deutsches Sprachgebiet"", ""Deutsch"", ""Literatur"", ""Schriftsteller"", ""Geschichte"", ""Biografie"", ""Wörterbuch""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Datenträger""]"	"[""Datenträger""]"	"[""Datenträger""]"	"[""Directmedia Publishing GmbH, Berlin""]"	"[""112""]"	[]	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_kill98a.cmm	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_kill98a.cmm""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_kill98a.cmm""]"	"[""cmm""]"	"[""Lokale Lizenz""]"	[]	restricted	"[""Killy"", ""Killy-Literaturlexikon"", ""Literaturlexikon : Autoren und Werke deutscher Sprache / Walther Killy"", ""Digitale Bibliothek ; 9""]"	"[""Germanistik. Niederlandistik. Skandinavistik""]"	"[""16""]"	[]	[]	[]	[]	yellow
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	432	Lexikon der sprichwörtlichen Redensarten	Lexikon der sprichwörtlichen Redensarten	Lexikon der sprichwörtlichen Redensarten		Wörterbuch, Enzyklopädie, Nachschlagwerk	Das Lexikon informiert über Bedeutung, Herkunft und Anwendung von rund 15.000 deutschen Redensarten. Die Jugend- und Werbesprache wurde dabei ebenso berücksichtigt wie die fremdsprachlichen Entsprechungen zu den deutschen Redensarten. Etwa 1.000 Abbildungen aus zeitgenössischen Quellen veranschaulichen den Ursprung vieler sprichwörtlicher Redensarten. Ein umfangreiches Literaturverzeichnis rundet das Werk ab.<br /> Basiert auf der Ausgabe 1991-1994.<br />			False	True	2019-01-01	2026-01-27	2000	3-89853-142-2	[]	[]	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Germanistik. Niederlandistik. Skandinavistik""]"	"[""4"", ""16""]"	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Germanistik. Niederlandistik. Skandinavistik""]"	"[""Deutsch"", ""Sprichwort"", ""Wörterbuch"", ""Volkskunde"", ""Völkerkunde""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Datenträger""]"	"[""Datenträger""]"	"[""Datenträger""]"	[]	[]	[]	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_ldsr02a.cmm	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_ldsr02a.cmm""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_ldsr02a.cmm""]"	"[""cmm""]"	"[""Lokale Lizenz""]"	[]	restricted	"[""Lutz Röhrich"", ""(Digitale Bibliothek ; 42)""]"	[]	[]	[]	[]	[]	[]	yellow
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	433	Metzler-Lexikon Sprache	Metzler-Lexikon Sprache	Metzler-Lexikon Sprache		Wörterbuch, Enzyklopädie, Nachschlagwerk	"Das ""Metzler-Lexikon Sprache"" (hrsg. v. Helmut Glück) informiert in ca. 6.000 Artikeln über das Gesamtgebiet der Linguistik und gibt einen Überblick über die Sprachfamilien, Sprachgruppen und Einzelsprachen der Welt. Detaillierte Sprachkarten illustrieren die Artikel und ermöglichen den geographischen Überblick über die Sprachen der Welt.<br /> Die CD-ROM-Ausgabe entspricht inhaltlich der 2. überarb. u. erw. Aufl. 2000.<br /> (Digitale Bibliothek, Band 34)"			False	True	2019-01-01	2025-03-05	2000	3-89853-134-1	[]	[]	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Germanistik. Niederlandistik. Skandinavistik"", ""Romanistik"", ""Slavistik""]"	"[""4"", ""5"", ""16"", ""36"", ""37""]"	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Germanistik. Niederlandistik. Skandinavistik"", ""Romanistik"", ""Slavistik""]"	"[""Linguistik"", ""Sprache"", ""Wörterbuch"", ""Phonetik"", ""Phonologie"", ""Lexikologie"", ""Morphologie"", ""Syntax"", ""Semantik"", ""Rhetorik"", ""Stilistik"", ""Pragmatik""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Datenträger""]"	"[""Datenträger""]"	"[""Datenträger""]"	"[""Metzler""]"	"[""100""]"	[]	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_mlsp07a.cmm	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_mlsp07a.cmm""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_mlsp07a.cmm""]"	"[""cmm""]"	"[""Lokale Lizenz""]"	[]	restricted	"[""Lexikon Sprache "", ""hrsg. von Helmut Glück"", ""Digitale Bibliothek ; 34"", ""Metzler Lexikon Sprache""]"	[]	[]	[]	[]	[]	[]	yellow
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	439	Lexikon der Weltliteratur	Lexikon der Weltliteratur	Lexikon der Weltliteratur		Wörterbuch, Enzyklopädie, Nachschlagwerk	Das Lexikon bietet ca. 11.000 Artikel zu den wichtigsten Autoren und anonymen Werken aller Zeiten und Völker sowie rund 4800 Kurzinterpretationen. Nicht berücksichtigt sind Philosophen, Historiker, Gelehrte, Essayisten und Fachschriftsteller ohne sprachkünstlerischen Anspruch (Vorw.).<br /> Die Datenbank gliedert sich in zwei Teile:<br /> Das Autorenlexikon informiert in ca. 11.000 Artikeln über die wichtigsten Autoren sowie die bedeutendsten anonymen Werke der Weltliteratur. Das Werklexikon verzeichnet Kurzinterpretationen und Werkbeschreibungen zu rund 4.800 Hauptwerken der Weltliteratur von über 1.700 Autoren.<br /> Dem Werk liegen die 3., neubearb. Aufl. der gedruckten Fassungen (Autoren und anonyme Werke 1988, Hauptwerke der Weltliteratur 1993) zugrunde.			False	True	2019-01-01	2026-01-27		3-89853-113-9	[]	[]	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Germanistik. Niederlandistik. Skandinavistik"", ""Romanistik"", ""Slavistik""]"	"[""4"", ""5"", ""16"", ""36"", ""37""]"	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Germanistik. Niederlandistik. Skandinavistik"", ""Romanistik"", ""Slavistik""]"	"[""Literatur"", ""Geschichte"", ""Wörterbuch"", ""Schriftsteller"", ""Biografie""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Wörterbuch, Enzyklopädie, Nachschlagwerk""]"	"[""Datenträger""]"	"[""Datenträger""]"	"[""Datenträger""]"	[]	[]	[]	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_ldwl99a.cmm	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_ldwl99a.cmm""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""im Intranet über den CD-ROM-Server verfügbar""]"	"[""https://cww-prod.dla-marbach.de/fileadmin/cmm/db_ldwl99a.cmm""]"	"[""cmm""]"	"[""Lokale Lizenz""]"	[]	restricted	"[""Autoren und Werke / Gero von Wilpert"", ""(Digitale Bibliothek ; 13)""]"	"[""Germanistik. Niederlandistik. Skandinavistik""]"	"[""16""]"	[]	[]	[]	[]	yellow
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	633	Early English Books Online	Early English Books Online	Early English Books Online		Volltextdatenbank	Angefangen vom ersten Buch, das jemals in englischer Sprache  veröffentlicht wurde, bis hin zu Spenser und Shakespeare  umfasst diese umfangreiche E-Book-Sammlung 125.000 der in  den Kurztitelkatalogen von Pollard & Redgrave (1475-1640)  und Wing (1641-1700) gelisteten Bücher im Volltext.  Hinzu kommen die Titel der Thomason Tracts Sammlung  (1640-1661) und das Early English Books Tract Supplement. Mit mehr als 22.500.000 Images und 500.000 erschlossenen  Illustrationen.			False	True	2019-01-01	2026-03-17			[]	[]	"[""Allgemeine und fachübergreifende Datenbanken"", ""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Kunstgeschichte"", ""Musikwissenschaft""]"	"[""3"", ""4"", ""5"", ""22"", ""28""]"	"[""Allgemeine und fachübergreifende Datenbanken"", ""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Kunstgeschichte"", ""Musikwissenschaft""]"	"[""England""]"	"[""Volltextdatenbank""]"	"[""Volltextdatenbank""]"	"[""Online""]"	"[""Online""]"	"[""Online""]"	"[""Proquest""]"	"[""23""]"	[]	https://search.proquest.com/eebo	"[""https://search.proquest.com/eebo"", ""https://nl.zugang.nationallizenzen.de/han/bc1636a2-b447-1518-dd0a-cbb5edae0ed0""]"	"[""Deutschlandweit frei zugänglich (DFG-geförderte Nationallizenz) "", ""Einzelpersonen mit ständigem Wohnsitz in der Bundesrepublik Deutschland können sich persönlich für einen kostenlosen Zugriff auf die gewünschten Nationallizenz-Angebote <a href=\""https://www.nationallizenzen.de/einzelnutzer-anmeldung\"" target=\""_blank\"">registrieren</a> lassen, falls ihnen der Zugang über ein Universitätsnetz, bzw. über ihre wissenschaftliche Bibliothek, nicht zur Verfügung steht.""]"	"[""Deutschlandweit frei zugänglich (DFG-geförderte Nationallizenz) "", ""Einzelpersonen mit ständigem Wohnsitz in der Bundesrepublik Deutschland können sich persönlich für einen kostenlosen Zugriff auf die gewünschten Nationallizenz-Angebote <a href=\""https://www.nationallizenzen.de/einzelnutzer-anmeldung\"" target=\""_blank\"">registrieren</a> lassen, falls ihnen der Zugang über ein Universitätsnetz, bzw. über ihre wissenschaftliche Bibliothek, nicht zur Verfügung steht.""]"	"[""https://search.proquest.com/eebo"", ""https://nl.zugang.nationallizenzen.de/han/bc1636a2-b447-1518-dd0a-cbb5edae0ed0""]"	[]	"[""Nationallizenz""]"	"[""Der deutschlandweite Zugriff auf die Datenbank <i>Early English Books Online</i> von ProQuest wird durch die Förderung der Deutschen Forschungsgemeinschaft (DFG) ermöglicht und durch die Universitätsbibliothek Johann Christian Senckenberg in Frankfurt a.M. organisiert.<br />\n<b>Einzelpersonen</b> mit ständigem Wohnsitz in der Bundesrepublik Deutschland können sich persönlich für einen kostenlosen Zugriff <a href=\""http://www.nationallizenzen.de/einzelnutzer-anmeldung\""><b>registrieren</b></a> lassen, falls ihnen der Zugang über ein Universitätsnetz, bzw. über ihre wissenschaftliche Bibliothek, nicht zur Verfügung steht. \n<br /><b>Login für registrierte Einzelnutzer:</b>\n<br /><a href=\""https://nl.zugang.nationallizenzen.de/han/bc1636a2-b447-1518-dd0a-cbb5edae0ed0\"">https://nl.zugang.nationallizenzen.de/han/bc1636a2-b447-1518-dd0a-cbb5edae0ed0</a>""]"	restricted	"[""EEBO""]"	[]	[]	"[""ZDB"", ""ZDB""]"	"[""2072358-1"", ""ZDB-1-EEB""]"	"[""ID"", ""PRODUKTSIGEL""]"	"[""ZDB:2072358-1"", ""ZDB:ZDB-1-EEB""]"	yellow
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	691	Index Translationum	Index Translationum	Index Translationum		Fachbibliographie	circa 1.300.000 Nachweise für Übersetzungen aus über 100 Ländern			False	True	2019-01-01	2025-10-29			[]	[]	"[""Allgemeine und fachübergreifende Datenbanken"", ""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen""]"	"[""3"", ""4""]"	"[""Allgemeine und fachübergreifende Datenbanken"", ""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen""]"	"[""Übersetzung"", ""Bibliografie""]"	"[""Fachbibliographie""]"	"[""Fachbibliographie""]"	"[""Online""]"	"[""Online""]"	"[""Online""]"	"[""UNESCO""]"	"[""248""]"	[]	https://www.unesco.org/xtrans/bsform.aspx	"[""https://www.unesco.org/xtrans/bsform.aspx""]"	"[""frei verfügbar""]"	"[""frei verfügbar""]"	"[""https://www.unesco.org/xtrans/bsform.aspx""]"	"[""aspx""]"	"[""Frei verfügbar""]"	[]	public	[]	[]	[]	[]	[]	[]	[]	green
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	859	IBZ Online	IBZ Online	IBZ Online		Aufsatzdatenbank	Die Bibliografie IBZ ist seit über 100 Jahren das führende internationale Nachschlagewerk für Zeitschriftenaufsätze der Geistes- und Sozialwissenschaften und angrenzender Fachgebiete. Das Themenspektrum der erfassten Zeitschriften ist einmalig: in keiner anderen Datenbank ist die wissenschaftliche Zeitschriftenliteratur so fachübergreifend erfasst. Die IBZ dient der Erfassung und Erschließung von neuesten wissenschaftlichen Artikeln. Der Schwerpunkt liegt bei deutschen und internationalen (weltweit) Zeitschriften der Geistes- und Sozialwissenschaften. Wobei das interdisziplinäre – mit gewollten Überschneidungen in den naturwissenschaftlichen Bereich – herausgestellt werden muss. Publikationen aus 40 Ländern in mehr als 40 Sprachen sind berücksichtigt. <br /> Die Aufsätze werden erschlossen und aufbereitet. So wird ein schneller Zugriff nach inhaltlichen Kriterien ermöglicht, unabhängig von der zugrundeliegenden Sprache. <br /> Die Erschließung erfolgt über ein Schlagwortsystem und geht damit über die üblichen Möglichkeiten elektronischer Datenbanksuche hinaus. Dieses Schlagwortsystem, das ständig aktualisiert und Hinblick auf neue wissenschaftliche Schwerpunkte/Themen etc. erweitert wird, ist deshalb besonders notwendig für die Erschließung geistes- und sozialwissenschaftlicher Aufsätze, da deren Titel häufig nicht den Inhalt zusammenfassend wiedergeben, sondern mitunter metaphernreich oder blumig formuliert sind, also aus dem Titel sehr oft nicht der Aufsatzinhalt abgeleitet werden kann. <br /> Die Suche nach Schlagwörtern kann in deutscher wie in englischer Sprache erfolgen. Die Auswertung in Anlehnung an die Schlagwortnormdatei, der Personennormdatei (Deutsche Nationalbibliothek) und Fachlexika in deutsch und englisch, sowie die daraus folgende Einbindung von Bibliothekaren, Wissenschaftlern und Dozenten auf internationaler Ebene ist ein Alleinstellungsmerkmal. <br /> Die Datenbank IBZ Online weist inzwischen über 4.66 Millionen Zeitschriftenaufsätze aus 11.500 Zeitschriften nach. Jährlich kommen über 132.000 Aufsätze hinzu. Die Datenbank wird wöchentlich aktualisiert.	"1896-1938 unter: <a href=""http://dbis.uni-regensburg.de/frontdoor.php?titel_id=102696"">Dietrich online</a>"		False	True	2019-01-01	2026-01-26			[]	[]	"[""Allgemeine und fachübergreifende Datenbanken"", ""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Archäologie"", ""Architektur, Bauingenieur- und Vermessungswesen"", ""Buch- und Bibliothekswesen, Informationswissenschaft"", ""Ethnologie"", ""Geographie"", ""Germanistik. Niederlandistik. Skandinavistik"", ""Geschichte"", ""Klassische Philologie. Byzantinistik. Mittellateinische und Neugriechische Philologie. Neulatein"", ""Kunstgeschichte"", ""Medien- und Kommunikationswissenschaften, Kommunikationsdesign"", ""Medizin"", ""Musikwissenschaft"", ""Pädagogik"", ""Philosophie"", ""Politologie"", ""Psychologie"", ""Rechtswissenschaft"", ""Romanistik"", ""Slavistik"", ""Soziologie"", ""Theologie und Religionswissenschaften"", ""Wirtschaftswissenschaften"", ""Wissenschaftskunde, Forschung, Hochschul-, Museumswesen""]"	"[""3"", ""4"", ""5"", ""6"", ""7"", ""9"", ""13"", ""14"", ""16"", ""17"", ""21"", ""22"", ""25"", ""26"", ""28"", ""30"", ""31"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""41"", ""43"", ""44""]"	"[""Allgemeine und fachübergreifende Datenbanken"", ""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"", ""Anglistik. Amerikanistik"", ""Archäologie"", ""Architektur, Bauingenieur- und Vermessungswesen"", ""Buch- und Bibliothekswesen, Informationswissenschaft"", ""Ethnologie"", ""Geographie"", ""Germanistik. Niederlandistik. Skandinavistik"", ""Geschichte"", ""Klassische Philologie. Byzantinistik. Mittellateinische und Neugriechische Philologie. Neulatein"", ""Kunstgeschichte"", ""Medien- und Kommunikationswissenschaften, Kommunikationsdesign"", ""Medizin"", ""Musikwissenschaft"", ""Pädagogik"", ""Philosophie"", ""Politologie"", ""Psychologie"", ""Rechtswissenschaft"", ""Romanistik"", ""Slavistik"", ""Soziologie"", ""Theologie und Religionswissenschaften"", ""Wirtschaftswissenschaften"", ""Wissenschaftskunde, Forschung, Hochschul-, Museumswesen""]"	"[""Geisteswissenschaften"", ""Nachschlagewerk"", ""Zeitschriftenaufsatz""]"	"[""Aufsatzdatenbank""]"	"[""Aufsatzdatenbank""]"	"[""Online""]"	"[""Online""]"	"[""Online""]"	"[""De Gruyter""]"	"[""166""]"	[]	http://www.degruyter.com/db/ibz	"[""http://www.degruyter.com/db/ibz""]"	"[""für das DLA lizenziert und im Intranet verfügbar""]"	"[""für das DLA lizenziert und im Intranet verfügbar""]"	"[""http://www.degruyter.com/db/ibz""]"	[]	"[""Lokale Lizenz""]"	[]	restricted	"[""Internationale Bibliographie der Geistes- und Sozialwissenschaftlichen Zeitschriftenliteratur"", ""International Bibliography of Periodical Literature"", ""Dietrich"", ""Internationale Bibliographie der Zeitschriftenliteratur""]"	[]	[]	"[""ZDB"", ""ZDB""]"	"[""2028345-3"", ""DE-Mz2""]"	"[""ID"", ""PRODUKTSIGEL""]"	"[""ZDB:2028345-3"", ""ZDB:DE-Mz2""]"	yellow
DBIS	DBIS	Bibliotheksdokumente	Datenbankressource	1036	CL/MT Research Group Bibliographic Search	CL/MT Research Group Bibliographic Search	CL/MT Research Group Bibliographic Search		Fachbibliographie	"Suche in mehreren linguistischen Datenbanken: <br /> - CL/MT (bibliography of the Computational Linguistics and Machine Translation Group at Essex), Sussex <br /> - ""Bibliography of Computational Linguistics and Natural Language Processing in the 8Os developed at the University of Sussex""), <br /> - CSLI (Bibliography of the Center for the Study of Language and Information), <br /> - LFG (""Bibliography of Work in Lexical Functional Grammar""), <br /> - TSNLP (""Test Suites for Natural Language Processing""), <br /> - HPSG (""Bibliography of Work in Head Driven Phrase Structure Grammar""); <br /><br /> insgesamt über 12.000 Nachweise z.T. ab 1980.<br /> Ermittelt werden können Titel von Büchern und Aufsätzen aus Büchern, Kongressbänden und Zeitschriften."			False	True	2020-08-18	2025-10-29			[]	[]	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen""]"	"[""4""]"	"[""Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen""]"	"[""Automatische Sprachanalyse"", ""Automatische Sprachproduktion"", ""Computerlinguistik"", ""Künstliche Intelligenz"", ""Linguistik"", ""Linguistische Datenverarbeitung"", ""Linguistische Informationswissenschaft"", ""Mathematische Linguistik"", ""Mensch-Maschine-Kommunikation""]"	"[""Fachbibliographie""]"	"[""Fachbibliographie""]"	"[""Online""]"	"[""Online""]"	"[""Online""]"	[]	[]	[]	http://www.essex.ac.uk/linguistics/external/clmt/bibsearch/	"[""http://www.essex.ac.uk/linguistics/external/clmt/bibsearch/""]"	"[""frei verfügbar""]"	"[""frei verfügbar""]"	"[""http://www.essex.ac.uk/linguistics/external/clmt/bibsearch/""]"	[]	"[""Frei verfügbar""]"	[]	public	"[""Bibliographic Databases in Linguistics""]"	[]	[]	[]	[]	[]	[]	green
