id	category	categoryMedium_mv	categoryPublication_mv	country_mv	dateCataloged	dateModified	dateOrigin	dateOriginComment_mv	display	displayAddition1	displayAddition2	displayName	filterDigital	filterMedium_mv	filterSource	filterType_mv	note	noteContent_mv	publisherOriginalText_mv	source	subjectOther_mv	textualHolding_mv	title	titleOther_text_mv	titleOther_type_mv	url	website_url_mv	website_description_mv
DBIS195	Digitale Nachschlagewerke	Online-Ressource	Wörterbuch, Enzyklopädie, Nachschlagwerk		2019-01-01	2025-08-13			Märchenlexikon (WWW)	Wörterbuch, Enzyklopädie, Nachschlagwerk			True	Datenbank	Digitale Nachschlagewerke	Daten		"Erstes Märchenlexikon im Internet: Verzeichnis mit rund 300 Märchentiteln mit abrufbaren Informationen zu Märchentypen, ausführlichen kulturgeschichtlichen Hinweisen und Angaben zu weiterführender Literatur.<br />
Umfangreiches elektronisches Verzeichnis von eTexten mit internationalen Märchen, Mythen, Epen, Sagen in Deutsch, Englisch und Französisch. Motiv- und Stichwortregister, strukturiertes Lexikon der Zaubermärchen sowie Motivregister.<br />
Integrierter Märchen- bzw. Motivsuch- und Lieferdienst (kostenpflichtig)"		AK	Märchen␟Wörterbuch␟Bibliografie		Märchenlexikon (WWW)			https://www.dla-marbach.de/find/opac/id/DBIS195	http://www.maerchenlexikon.de/inhalt.htm	Zugang
DBIS382	Digitale Nachschlagewerke	Online-Ressource	Wörterbuch, Enzyklopädie, Nachschlagwerk		2019-01-01	2025-01-13	2001	2001-	In medias res	Wörterbuch, Enzyklopädie, Nachschlagwerk		Directmedia Publishing GmbH, Berlin	True	Datenbank	Digitale Nachschlagewerke	Daten		"Das Lexikon lateinischer Zitate und Redewendungen macht den großen Schatz lateinischer Sentenzen, Sprichwörter, Aphorismen, Rechtsregeln, Wahlsprüche, Redewendungen und geflügelten Worte im Original und in deutscher Übersetzung zugänglich. Es enthält mehr als 17.000 Eintragungen und ist damit die bei weitem umfangreichste Sammlung ihrer Art. Erfasst sind Texte der römischen Antike, des Mittelalters und der Neuzeit. Ebenso wurden die Wahlsprüche von Staaten, Städten und historischen Persönlichkeiten sowie Formeln der kirchlichen und der juristischen Tradition berücksichtigt.<br />
(Digitale Bibliothek ; 27)"	Directmedia Publishing GmbH, Berlin	AK	Latein␟Altertumswissenschaft␟Zitatensammlung		In medias res	Lexikon lateinischer Zitate und Wendungen␟hrsg. von Ernst Bury␟Digitale Bibliothek ; 27	370n␟370n␟370n	https://www.dla-marbach.de/find/opac/id/DBIS382	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_imrl07a.cmm	Andere Zugangsbedingungen (im Intranet über den CD-ROM-Server verfügbar)
DBIS430	Digitale Nachschlagewerke	Online-Ressource	Wörterbuch, Enzyklopädie, Nachschlagwerk		2019-01-01	2026-02-11			Literaturlexikon / Walther Killy (CD-ROM)	Wörterbuch, Enzyklopädie, Nachschlagwerk		Directmedia Publishing GmbH, Berlin	True	Datenbank	Digitale Nachschlagewerke	Daten		"In rund 10.000 Artikeln wird die Literaturgeschichte Deutschlands, Österreichs, der Schweiz und aller deutschen Sprachinseln vom frühen Mittelalter bis zur Gegenwart dokumentiert, mit biographischen Daten, Analysen und Bibliographien.<br />Im Autorenlexikon werden Leben, Werk und Wirkung von über 8.000 Autoren beschrieben. Im  Sachlexikon finden sich Charakterisierungen der Epochen und Strömungen, der Gattungen und Formen sowie der Geschichte der literarischen und gesellschaftlichen Institutionen, des Buches, des Lesers und des Autors.<br />
Die elektronische Version des Literaturlexikons enthält sämtliche Artikel der fünfzehnbändigen von 1988 bis 1993 erschienenen Buchausgabe.<br />
(Digitale Bibliothek ; 9)"	Directmedia Publishing GmbH, Berlin	AK	Deutsches Sprachgebiet␟Deutsch␟Literatur␟Schriftsteller␟Geschichte␟Biografie␟Wörterbuch		Literaturlexikon / Walther Killy (CD-ROM)	Killy␟Killy-Literaturlexikon␟Literaturlexikon : Autoren und Werke deutscher Sprache / Walther Killy␟Digitale Bibliothek ; 9	370n␟370n␟370n␟370n	https://www.dla-marbach.de/find/opac/id/DBIS430	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_kill98a.cmm	Andere Zugangsbedingungen (im Intranet über den CD-ROM-Server verfügbar)
DBIS432	Digitale Nachschlagewerke	Online-Ressource	Wörterbuch, Enzyklopädie, Nachschlagwerk		2019-01-01	2026-01-27	2000	2000-	Lexikon der sprichwörtlichen Redensarten	Wörterbuch, Enzyklopädie, Nachschlagwerk			True	Datenbank	Digitale Nachschlagewerke	Daten		"Das Lexikon informiert über Bedeutung, Herkunft und Anwendung von rund 15.000 deutschen Redensarten. Die Jugend- und Werbesprache wurde dabei ebenso berücksichtigt wie die fremdsprachlichen Entsprechungen zu den deutschen Redensarten. Etwa 1.000 Abbildungen aus zeitgenössischen Quellen veranschaulichen den Ursprung vieler sprichwörtlicher Redensarten. Ein umfangreiches Literaturverzeichnis rundet das Werk ab.<br />
Basiert auf der Ausgabe 1991-1994.<br />"		AK	Deutsch␟Sprichwort␟Wörterbuch␟Volkskunde␟Völkerkunde		Lexikon der sprichwörtlichen Redensarten	Lutz Röhrich␟(Digitale Bibliothek ; 42)	370n␟370n	https://www.dla-marbach.de/find/opac/id/DBIS432	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_ldsr02a.cmm	Andere Zugangsbedingungen (im Intranet über den CD-ROM-Server verfügbar)
DBIS433	Digitale Nachschlagewerke	Online-Ressource	Wörterbuch, Enzyklopädie, Nachschlagwerk		2019-01-01	2025-03-05	2000	2000-	Metzler-Lexikon Sprache	Wörterbuch, Enzyklopädie, Nachschlagwerk		Metzler	True	Datenbank	Digitale Nachschlagewerke	Daten		"Das ""Metzler-Lexikon Sprache"" (hrsg. v. Helmut Glück) informiert in ca. 6.000 Artikeln über das Gesamtgebiet der Linguistik und gibt einen Überblick über die Sprachfamilien, Sprachgruppen und Einzelsprachen der Welt. Detaillierte Sprachkarten illustrieren die Artikel und ermöglichen den geographischen Überblick über die Sprachen der Welt.<br />
Die CD-ROM-Ausgabe entspricht inhaltlich der 2. überarb. u. erw. Aufl. 2000.<br />
(Digitale Bibliothek, Band 34)"	Metzler	AK	Linguistik␟Sprache␟Wörterbuch␟Phonetik␟Phonologie␟Lexikologie␟Morphologie␟Syntax␟Semantik␟Rhetorik␟Stilistik␟Pragmatik		Metzler-Lexikon Sprache	Lexikon Sprache␟hrsg. von Helmut Glück␟Digitale Bibliothek ; 34␟Metzler Lexikon Sprache	370n␟370n␟370n␟370n	https://www.dla-marbach.de/find/opac/id/DBIS433	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_mlsp07a.cmm	Andere Zugangsbedingungen (im Intranet über den CD-ROM-Server verfügbar)
DBIS439	Digitale Nachschlagewerke	Online-Ressource	Wörterbuch, Enzyklopädie, Nachschlagwerk		2019-01-01	2026-01-27			Lexikon der Weltliteratur	Wörterbuch, Enzyklopädie, Nachschlagwerk			True	Datenbank	Digitale Nachschlagewerke	Daten		"Das Lexikon bietet ca. 11.000 Artikel zu den wichtigsten Autoren und anonymen Werken aller Zeiten und Völker sowie rund 4800 Kurzinterpretationen. Nicht berücksichtigt sind Philosophen, Historiker, Gelehrte, Essayisten und Fachschriftsteller ohne sprachkünstlerischen Anspruch (Vorw.).<br />
Die Datenbank gliedert sich in zwei Teile:<br />
Das Autorenlexikon informiert in ca. 11.000 Artikeln über die wichtigsten Autoren sowie die bedeutendsten anonymen Werke der Weltliteratur. Das Werklexikon verzeichnet Kurzinterpretationen und Werkbeschreibungen zu rund 4.800 Hauptwerken der Weltliteratur von über 1.700 Autoren.<br />
Dem Werk liegen die 3., neubearb. Aufl. der gedruckten Fassungen (Autoren und anonyme Werke 1988, Hauptwerke der Weltliteratur 1993) zugrunde."		AK	Literatur␟Geschichte␟Wörterbuch␟Schriftsteller␟Biografie		Lexikon der Weltliteratur	Autoren und Werke / Gero von Wilpert␟(Digitale Bibliothek ; 13)	370n␟370n	https://www.dla-marbach.de/find/opac/id/DBIS439	https://cww-prod.dla-marbach.de/fileadmin/cmm/db_ldwl99a.cmm	Andere Zugangsbedingungen (im Intranet über den CD-ROM-Server verfügbar)
DBIS633	Digitale Nachschlagewerke	Online-Ressource	Volltextdatenbank		2019-01-01	2026-03-17			Early English Books Online	Volltextdatenbank		Proquest	True	Datenbank	Digitale Nachschlagewerke	Daten		"Angefangen vom ersten Buch, das jemals in englischer Sprache 
veröffentlicht wurde, bis hin zu Spenser und Shakespeare 
umfasst diese umfangreiche E-Book-Sammlung 125.000 der in 
den Kurztitelkatalogen von Pollard & Redgrave (1475-1640) 
und Wing (1641-1700) gelisteten Bücher im Volltext. 
Hinzu kommen die Titel der Thomason Tracts Sammlung 
(1640-1661) und das Early English Books Tract Supplement.
Mit mehr als 22.500.000 Images und 500.000 erschlossenen 
Illustrationen."	Proquest	AK	England		Early English Books Online	EEBO	370n	https://www.dla-marbach.de/find/opac/id/DBIS633	https://search.proquest.com/eebo␟https://nl.zugang.nationallizenzen.de/han/bc1636a2-b447-1518-dd0a-cbb5edae0ed0	Zugang mit Authentifizierungsmechanismen (Deutschlandweit frei zugänglich (DFG-geförderte Nationallizenz))␟Individuelle Registrierung erforderlich (Für Nationallizenzen registrierte Einzelpersonen)
DBIS691	Digitale Nachschlagewerke	Online-Ressource	Fachbibliographie		2019-01-01	2025-10-29			Index Translationum	Fachbibliographie	1979-	UNESCO	True	Datenbank	Digitale Nachschlagewerke	Daten		circa 1.300.000 Nachweise für Übersetzungen aus über 100 Ländern	UNESCO	AK	Übersetzung␟Bibliografie	1979-	Index Translationum			https://www.dla-marbach.de/find/opac/id/DBIS691	https://www.unesco.org/xtrans/bsform.aspx	Zugang
DBIS859	Digitale Nachschlagewerke	Online-Ressource	Aufsatzdatenbank		2019-01-01	2026-01-26			IBZ Online	Aufsatzdatenbank	1965-	De Gruyter	True	Datenbank	Digitale Nachschlagewerke	Daten	"1896-1938 unter: <a href=""http://dbis.uni-regensburg.de/frontdoor.php?titel_id=102696"">Dietrich online</a>"	"Die Bibliografie IBZ ist seit über 100 Jahren das führende internationale Nachschlagewerk für Zeitschriftenaufsätze der Geistes- und Sozialwissenschaften und angrenzender Fachgebiete. Das Themenspektrum der erfassten Zeitschriften ist einmalig: in keiner anderen Datenbank ist die wissenschaftliche Zeitschriftenliteratur so fachübergreifend erfasst.

Die IBZ dient der Erfassung und Erschließung von neuesten wissenschaftlichen Artikeln. Der Schwerpunkt liegt bei deutschen und internationalen (weltweit) Zeitschriften der Geistes- und Sozialwissenschaften. Wobei das interdisziplinäre – mit gewollten Überschneidungen in den naturwissenschaftlichen Bereich – herausgestellt werden muss. Publikationen aus 40 Ländern in mehr als 40 Sprachen sind berücksichtigt.
<br />
Die Aufsätze werden erschlossen und aufbereitet. So wird ein schneller Zugriff nach inhaltlichen Kriterien ermöglicht, unabhängig von der zugrundeliegenden Sprache.
<br />
Die Erschließung erfolgt über ein Schlagwortsystem und geht damit über die üblichen Möglichkeiten elektronischer Datenbanksuche hinaus. Dieses Schlagwortsystem, das ständig aktualisiert und Hinblick auf neue wissenschaftliche Schwerpunkte/Themen etc. erweitert wird, ist deshalb besonders notwendig für die Erschließung geistes- und sozialwissenschaftlicher Aufsätze, da deren Titel häufig nicht den Inhalt zusammenfassend wiedergeben, sondern mitunter metaphernreich oder blumig formuliert sind, also aus dem Titel sehr oft nicht der Aufsatzinhalt abgeleitet werden kann.
<br />
Die Suche nach Schlagwörtern kann in deutscher wie in englischer Sprache erfolgen. Die Auswertung in Anlehnung an die Schlagwortnormdatei, der Personennormdatei (Deutsche Nationalbibliothek) und Fachlexika in deutsch und englisch, sowie die daraus folgende Einbindung von Bibliothekaren, Wissenschaftlern und Dozenten auf internationaler Ebene ist ein Alleinstellungsmerkmal.
<br />
Die Datenbank IBZ Online weist inzwischen über 4.66 Millionen Zeitschriftenaufsätze aus 11.500 Zeitschriften nach. Jährlich kommen über 132.000 Aufsätze hinzu. Die Datenbank wird wöchentlich aktualisiert."	De Gruyter	AK	Geisteswissenschaften␟Nachschlagewerk␟Zeitschriftenaufsatz	1965-	IBZ Online	Internationale Bibliographie der Geistes- und Sozialwissenschaftlichen Zeitschriftenliteratur␟International Bibliography of Periodical Literature␟Dietrich␟Internationale Bibliographie der Zeitschriftenliteratur	370n␟370n␟370n␟370n	https://www.dla-marbach.de/find/opac/id/DBIS859	http://www.degruyter.com/db/ibz	Zugang mit Authentifizierungsmechanismen (für das DLA lizenziert und im Intranet verfügbar)
DBIS1036	Digitale Nachschlagewerke	Online-Ressource	Fachbibliographie		2020-08-18	2025-10-29			CL/MT Research Group Bibliographic Search	Fachbibliographie	1980-		True	Datenbank	Digitale Nachschlagewerke	Daten		"Suche in mehreren linguistischen Datenbanken: <br />
- CL/MT (bibliography of the Computational Linguistics and Machine Translation Group at Essex), Sussex <br />
- ""Bibliography of Computational Linguistics and Natural Language Processing in the 8Os developed at the University of Sussex""), <br />
- CSLI (Bibliography of the Center for the Study of Language and Information), <br />
- LFG (""Bibliography of Work in Lexical Functional Grammar""), <br />
- TSNLP (""Test Suites for Natural Language Processing""), <br />
- HPSG (""Bibliography of Work in Head Driven Phrase Structure Grammar""); <br /><br />
insgesamt über 12.000 Nachweise z.T. ab 1980.<br />
Ermittelt werden können Titel von Büchern und Aufsätzen aus Büchern, Kongressbänden und Zeitschriften."		AK	Automatische Sprachanalyse␟Automatische Sprachproduktion␟Computerlinguistik␟Künstliche Intelligenz␟Linguistik␟Linguistische Datenverarbeitung␟Linguistische Informationswissenschaft␟Mathematische Linguistik␟Mensch-Maschine-Kommunikation	1980-	CL/MT Research Group Bibliographic Search	Bibliographic Databases in Linguistics	370n	https://www.dla-marbach.de/find/opac/id/DBIS1036	http://www.essex.ac.uk/linguistics/external/clmt/bibsearch/	Zugang
